original_text,length,label_true,label_pred,confidence,is_correct,error_type
marinus pharma stock price target cut to 6 from 7 at leerink,10,0,0,0.91546786,True,None
methanex downgraded at td securities on valuation,10,0,0,0.98149925,True,None
metro inc just missed earnings and its earnings per share looked sad but analysts have updated their models,10,0,0,0.98012584,True,None
mid america apartment communities downgraded to sector weight from overweight at keybanc capital,9,0,0,0.8548124,True,None
mitek systems stock price target cut to 11 from 14 at benchmark,7,0,1,0.78260225,False,True_0_Pred_1
napco security stock price target cut to 30 from 35 at imperial capital,7,0,0,0.98984677,True,None
needham s martin defends her prediction that netflix subscriptions will fall,7,0,0,0.945217,True,None
netflix downgraded to underperform at needham,6,0,0,0.9579979,True,None
netflix stock falls after wells fargo turns pessimistic about price decrease,6,0,0,0.9650935,True,None
new netflix bear steps out,5,0,2,0.86095285,False,True_0_Pred_2
new york opioid case a significant risk for pharma stocks says pessimistic about price decrease bofa,5,0,0,0.3880428,True,None
norwegian cruise line downgraded to strong sell from hold at cfra,19,0,0,0.6902232,True,None
novo nordisk downgraded by ubs on concerns over drug launch cost,18,0,0,0.9975067,True,None
oppenheimer cuts estimates on yum china,16,0,1,0.71454936,False,True_0_Pred_1
orbcomm price target lowered to 9 at canaccord,15,0,0,0.95436054,True,None
o reilly automotive stock price target cut to 405 from 415 at j p morgan,14,0,1,0.75187296,False,True_0_Pred_1
patterson uti energy started at sell with 7 stock price target at deutsche bank,14,0,0,0.9853247,True,None
ps business parks downgraded to underweight from sector weight at keybanc capital,13,0,0,0.53452295,True,None
rio tinto downgraded to neutral from overweight at j p morgan,13,0,0,0.7091581,True,None
rosenblatt projects 47 downside in apple shares warns of drop in iphone production,13,0,0,0.9469077,True,None
royal caribbean downgraded to sell from buy at cfra,12,0,0,0.98534864,True,None
royal caribbean stock price target cut to 100 from 135 at cfra,12,0,0,0.9707426,True,None
royal caribbean s stock falls after cfra swings to pessimistic about price decrease on more dire coronavirus assessment,12,0,0,0.97300684,True,None
scandinavian tobacco group a s earnings missed analyst estimates here s what analysts are forecasting now,12,0,1,0.772695,False,True_0_Pred_1
sherwin williams cut from conviction buy at goldman on valuation,12,0,0,0.9374705,True,None
sirius downgraded on valuation,11,0,0,0.6189689,True,None
spotify double downgrade reflects prospect of slower revenue growth,11,0,0,0.95286715,True,None
suntrust latest to trim nielsen target,11,0,0,0.9685041,True,None
taco bell parent yum brands downgraded to neutral from buy at btig,11,0,0,0.84304184,True,None
take two downgraded on murky game slate,11,0,0,0.90311575,True,None
take two interactive stock price target cut to 124 from 133 at mkm partners,10,0,0,0.5102723,True,None
target hospitality downgraded to perform from outperform at oppenheimer,10,0,0,0.85716134,True,None
taubman centers downgraded to sector weight from overweight at keybanc capital,9,0,0,0.9617548,True,None
the manitowoc company inc just reported earnings and analysts cut their target price,9,0,0,0.7371243,True,None
transocean started at sell with 3 stock price target at deutsche bank,9,0,0,0.9545525,True,None
ultra clean downgraded to hold from buy at stifel nicolaus,8,0,1,0.59917647,False,True_0_Pred_1
wells fargo downgrades netflix <TICKER> to underperform but sees as a takeover target nflx could get acquired nflx i,8,1,1,0.8895873,True,None
wells fargo downgrades netflix on spending concerns,7,0,0,0.8453325,True,None
wells fargo downgrades netflix if content is king then cash is queen,7,0,0,0.95565426,True,None
welltower stock price target cut to 90 from 95 at j p morgan,6,0,1,0.56957793,False,True_0_Pred_1
wwe stock price target cut to 57 from 79 at benchmark,6,0,0,0.52743083,True,None
<TICKER> dougherty company starts at buy,6,1,1,0.88320595,True,None
<TICKER> amd s navi shows strong adoption bofa,4,0,0,0.9424568,True,None
<TICKER> bmo capital markets ups to outperform,13,1,1,0.8666709,True,None
<TICKER> lake street starts at buy,12,1,2,0.8190821,False,True_1_Pred_2
<TICKER> s p raises centene corp rtg to bbb from bb outlk stable,11,1,1,0.9123174,True,None
<TICKER> citi gives big boost to deere pt,11,1,1,0.9867756,True,None
<TICKER> guggenheim sees favorable catalysts for ebay,10,1,1,0.9717468,True,None
<TICKER> freeport upgraded as credit suisse sees big buying opportunity,10,1,1,0.94467974,True,None
<TICKER> btig research starts at buy,10,1,1,0.96280855,True,None
<TICKER> franco nevada will not need more funding despite suspensions analyst says,9,1,1,0.94842386,True,None
<TICKER> cantor fitzgerald resumes at overweight,9,1,1,0.9860978,True,None
<TICKER> morgan stanley sees gm doubling in bull case scenario,9,1,1,0.9437863,True,None
<TICKER> barclays starts at overweight,9,1,1,0.96227676,True,None
<TICKER> hasbro gains after ubs upgrade,8,1,1,0.897126,True,None
<TICKER> new bull praises acceleration margin profile,8,1,1,0.8028024,True,None
<TICKER> barclays ups to overweight,7,1,1,0.9373326,True,None
<TICKER> jpmorgan constructive on kraft heinz,7,1,1,0.87667644,True,None
<TICKER> compass point ups to neutral,7,1,1,0.91515857,True,None
<TICKER> lowe s racks up another positive rating despite recession risk,7,1,1,0.95953906,True,None
<TICKER> lam target boosted on compelling setup,7,1,1,0.93532497,True,None
<TICKER> barclays starts at overweight,7,1,1,0.941466,True,None
<TICKER> <TICKER> bull sees 2020 upsides for mu wdc,6,1,1,0.88330287,True,None
<TICKER> rated buy,6,1,1,0.8787494,True,None
<TICKER> suntrust expecting netflix to post strong user growth,6,1,1,0.9424512,True,None
<TICKER> nvidia set for gaming tailwinds bofa,6,1,1,0.99248064,True,None
<TICKER> btig sees material improvement to ocwen book value,6,1,1,0.9491566,True,None
<TICKER> cowen starts at outperform,6,1,1,0.9009138,True,None
<TICKER> bmo capital markets starts at outperform,6,1,1,0.9340538,True,None
<TICKER> evercore starts ringcentral at outperform,6,1,1,0.88330287,True,None
<TICKER> <TICKER> <TICKER> moffettnathanson boosts sbac to buy,5,1,1,0.96660376,True,None
<TICKER> loop turns optimistic about price increase on snap ad growth,5,1,1,0.9633815,True,None
<TICKER> lake street starts at buy,5,1,1,0.96660376,True,None
<TICKER> cowen sees upside in tenb s indegy purchase,5,1,1,0.95757467,True,None
<TICKER> <TICKER> uber lyft can raise prices to profit barclays,3,1,2,0.46254414,False,True_1_Pred_2
<TICKER> maxim group ups to buy,21,1,1,0.8617318,True,None
<TICKER> compass point ups to buy,20,1,1,0.67073464,True,None
<TICKER> new zscaler bull sees sustainable growth shares 4,19,1,1,0.6148281,True,None
activision take two charts look constructive as wells fargo gets optimistic about price increase on video game plays trader <TICKER> <TICKER>,16,1,1,0.95752394,True,None
adobe stock price target raised to 315 vs 290 at wedbush,15,1,1,0.83150184,True,None
adobe stock price target raised to 318 vs 310 at instinet,14,1,1,0.9136566,True,None
aegis capital positive on netflix usage trend,14,1,1,0.972011,True,None
after a 60 drop in 6 months bank of america says buy pot stock canopy,13,1,1,0.9418124,True,None
akero therapeutics started at buy with 36 stock price target at canaccord genuity,13,1,1,0.968153,True,None
align technology stock price target raised to 305 from 290 at stifel nicolaus,13,1,1,0.9772488,True,None
allergan upgraded to buy from neutral at ubs,13,1,1,0.84855175,True,None
altria stock price target raised to 54 from 50 at stifel nicolaus,13,1,1,0.9437598,True,None
amneal pharma price target raised to 6 vs 4 at suntrust robinson humphrey,13,1,1,0.9750426,True,None
an analyst at loop capital upgrades <TICKER> to buy from hold citing higher revenue growth potential,13,1,1,0.8787139,True,None
analyst at t is the top telecom pick for 2020,13,1,1,0.9311743,True,None
analysts mostly optimistic about price increase on newly public insurance firm brp group,12,1,1,0.96656543,True,None
analysts see 18 gains ahead for the holdings of the first trust dow jones internet index fund exchange traded fund,12,1,1,0.9672318,True,None
ansys stock price target raised to 265 from 235 at benchmark,12,1,1,0.9642294,True,None
anthem stock price target raised to 330 from 300 at suntrust rh,12,1,1,0.95591825,True,None
applied industrial technologies stock price target raised to 70 from 65 at keybanc capital,11,1,1,0.97151124,True,None
argen x stock price target raised to 255 vs 203 at instinet,11,1,1,0.97478545,True,None
armata pharmaceuticals started at buy with 8 stock price target at maxim group,11,1,1,0.9745702,True,None
arrow electronics stock price target raised to 87 vs 84 at suntrust robinson humphrey,11,1,1,0.9659354,True,None
asset management one co has a optimistic about price increase call on treasuries one for the long long run,10,1,1,0.5193455,True,None
audentes therapeutics stock price target raised to 40 from 34 at evercore isi,10,1,1,0.97081125,True,None
audentes therapeutics upgraded to outperform from in line at evercore isi,9,1,1,0.9582785,True,None
axcelis technologies stock price target raised to 32 from 24 at benchmark,8,1,1,0.9499221,True,None
baird optimistic about price increase on beat up canada goose,8,1,1,0.8751305,True,None
baird likes drug wholesalers in premarket analyst action,7,1,1,0.91324306,True,None
baird returns to wingstop bull camp,6,1,1,0.85667807,True,None
baker hughes started at buy with 32 stock price target at deutsche bank,6,1,1,0.8400848,True,None
bank of america stock price target raised to 49 from 48 at oppenheimer,6,1,1,0.678838,True,None
barclays analysts says uber and lyft are well positioned to achieve profitability,16,1,1,0.9916591,True,None
bausch health upgraded to overweight from neutral at jpmorgan price target raised to 38 from 32,14,1,1,0.96596164,True,None
bed bath beyond reiterated as buy at bofa merrill lynch,14,1,1,0.98911256,True,None
belden stock price target raised to 56 vs 54 at suntrust robinson humphrey,13,1,1,0.9895858,True,None
benchmark says this roof supplier is a buy,13,1,1,0.9595747,True,None
bernstein turns optimistic about price increase on vmware s valuation,13,1,1,0.9492971,True,None
berry petroleum upgraded to sector weight from underweight at keybanc capital,13,1,1,0.9926237,True,None
best buy stock price target raised to 105 from 86 at oppenheimer,13,1,1,0.97425663,True,None
biogen stock price target raised to 392 from 320 at instinet,13,1,1,0.97789806,True,None
biogen stock price target raised to 410 from 350 at svb leerink,12,1,1,0.9376883,True,None
boeing stock price target raised to 427 from 406 at cfra,12,1,1,0.9778016,True,None
bofa upgrades westrock after containerboard conference london pulp week,12,1,1,0.97281015,True,None
bouygues simple average just beat analyst forecasts and analysts have been updating their predictions,12,1,1,0.9814935,True,None
btig expects domino s to boost buybacks,12,1,1,0.97801346,True,None
btig sees material improvement to ocwen book value,11,1,1,0.8460152,True,None
bull sees 2020 upsides for mu wdc,11,1,1,0.9805593,True,None
cabot upgraded to buy from neutral at ubs,11,1,1,0.965705,True,None
canada goose upgraded to outperform from neutral at baird price target c 53,11,1,1,0.9739758,True,None
capital southwest initiated at outperform at raymond james with 23 50 price target,11,1,1,0.97435206,True,None
celanese stock price target raised to 120 vs 111 at bofa merrill lynch,11,1,1,0.7184425,True,None
cf industries stock price target raised to 56 vs 52 at bofa merrill lynch,10,1,1,0.93055046,True,None
cf industries upgraded to buy vs neutral at bofa merrill lynch,10,1,1,0.97769254,True,None
ciena stock price target raised to 47 vs 43 at instinet,10,1,1,0.7630266,True,None
citi gives big boost to deere pt,9,1,1,0.9441382,True,None
citi reels in pt on nu skin,9,1,1,0.9462258,True,None
citron says it is long on luckin coffee mw vs citron,8,1,1,0.846367,True,None
cnh industrial upped to buy at deutsche bank on valuation,8,1,1,0.8976201,True,None
copa holdings stock price target raised to 130 from 103 at deutsche bank,8,1,1,0.9680375,True,None
costco price target raised to 330 vs 320 at bofa merrill lynch,7,1,1,0.9424329,True,None
csx stock price target raised to 90 from 72 at deutsche bank,7,1,1,0.8793941,True,None
csx upgraded to buy from hold at deutsche bank,7,1,1,0.8219237,True,None
cvs health stock price target raised to 90 from 85 at suntrust rh,7,1,1,0.7938548,True,None
cyrusone upgraded to overweight from sector weight at keybanc capital,18,1,1,0.61427456,True,None
diamondrock hospitality upgraded to sector weight from underweight at keybanc capital,17,1,1,0.6780557,True,None
dlh holdings maintained as buy with 7 price target at canaccord,17,1,1,0.7045814,True,None
domtar upgraded to market perform at bmo capital,17,1,1,0.97370356,True,None
dow stock price target raised to 52 vs 46 at bofa merrill lynch,17,1,1,0.97709477,True,None
earnings update here s why analysts just lifted their aemetis inc price target to us 2 25,17,1,1,0.98579085,True,None
earnings update here s why analysts just lifted their milestone scientific inc price target to us 2 00,14,1,1,0.9856149,True,None
earnings update here s why analysts just lifted their skyworks solutions inc price target to us 104,14,1,1,0.97219706,True,None
eastman chemical stock price target raised to 85 vs 82 at bofa merrill lynch,13,1,1,0.99076813,True,None
edgewell stock price target raised to 41 from 33 at cfra,13,1,1,0.9756929,True,None
elastic upgraded to buy from hold at canaccord genuity,13,1,1,0.9809868,True,None
enbridge upgraded to buy from neutral at ubs price target lifted to c 54 from c 50,13,1,1,0.89789957,True,None
energizer holdings upgraded to neutral from underweight at jp morgan price target lifted to 51 from 41,12,1,1,0.94034934,True,None
energizer shakes off jpmorgan s bear call,12,1,1,0.98049647,True,None
equity lifestyle properties upgraded to outperform at bmo capital,12,1,1,0.9744889,True,None
estee lauder stock price target raised to 238 from 202 at raymond james,12,1,1,0.9416609,True,None
etsy initiated as buy with 55 price target at suntrust robinson humphrey,12,1,1,0.9697845,True,None
fedex stock price target raised to 168 from 163 at bofa securities,11,1,1,0.92189324,True,None
fleetcor stock price target raised to 325 from 310 at cfra,11,1,1,0.9529023,True,None
ford s electric suv impresses credit suisse,11,1,1,0.97298616,True,None
fortinet stock price target raised to 115 from 104 at bmo capital,11,1,1,0.9717975,True,None
fortinet stock price target raised to 120 from 110 at monness crespi hardt,11,1,1,0.9786507,True,None
glenmark pharmaceuticals limited just beat analyst forecasts and analysts have been updating their predictions,11,1,1,0.97654974,True,None
goldman adds workday to conviction list shares 1,11,1,1,0.9751868,True,None
goldman says 36 000 rally in brazilian retailer has room to run,10,1,1,0.97017866,True,None
grubhub stock price target raised to 40 from 34 at oppenheimer,10,1,1,0.9171827,True,None
grubhub stock price target raised to 60 from 30 at susquehanna,9,1,1,0.9646175,True,None
hasbro upgraded on earnings growth potential from entertainment one acquisition,9,1,1,0.8342144,True,None
hasbro upgraded to buy from neutral at ubs price target 117,8,1,1,0.9164303,True,None
heat biologics started at buy with 1 stock price target at maxim group,8,1,1,0.93247217,True,None
home depot upgraded to outperform from neutral at credit suisse price target raised to 235 from 225,7,1,1,0.7287316,True,None
humana stock price target raised to 363 from 319 at deutsche bank,7,1,1,0.4634335,True,None
huntsman named conviction buy at goldman in chemical sector shuffle,17,1,1,0.9651098,True,None
intel stock price target raised to 62 vs 60 at suntrust robinson humphrey,17,1,1,0.97902197,True,None
intercept pharmaceuticals maintained as buy with 165 price target at canaccord,17,1,1,0.68356115,True,None
invitae corp maintained as buy at benchmark,16,1,1,0.9776479,True,None
j c penney stock price target raised to 1 00 from 80 cents at b riley fbr,15,1,1,0.96130514,True,None
jabil stock price target raised to 47 from 36 at cfra,15,1,1,0.948422,True,None
jefferies analysts lifted tesla <TICKER> shares to buy while paring the price target 19,14,1,1,0.90986466,True,None
jpmorgan likes bausch health in premarket analyst action,14,1,1,0.9470361,True,None
jpmorgan out optimistic about price increase on uber s upside potential,14,1,1,0.9823784,True,None
kilroy realty upgraded to overweight from sector weight at keybanc capital,14,1,1,0.9903453,True,None
l3harris started at buy with 280 stock price target at benchmark,13,1,1,0.98805594,True,None
lagging mlp upgraded at goldman as new projects seen lifting cash flows,13,1,1,0.98256105,True,None
ligand pharmaceuticals started at buy with 135 stock price target at benchmark,13,1,1,0.9746397,True,None
lovesac maintained as buy at canaccord,13,1,1,0.9720619,True,None
lululemon stock price target raised to 260 vs 222 at susquehanna,12,1,1,0.9548742,True,None
lyft stock gets an upgrade due to competitive positioning,12,1,1,0.9513715,True,None
lyondellbasell sock price target raised to 107 vs 99 at bofa merrill lynch,11,1,1,0.9674605,True,None
magnolia oil gas started at overweight with 14 stock price target at keybanc capital,11,1,1,0.97089416,True,None
mesa air reiterated as outperform at cowen,11,1,1,0.96975446,True,None
microchip technology stock price target raised to 113 vs 106 at suntrust robinson humphrey,11,1,1,0.9652051,True,None
mizuho raises intel on aggressive price cuts,11,1,1,0.9429989,True,None
molina healthcare stock price target raised to 165 from 155 at suntrust rh,11,1,1,0.9753151,True,None
morgan stanley analyst joseph moore upgraded nvidia nasdaq <TICKER> from equalweight to overweight with a price tar,10,1,1,0.8941506,True,None
morgan stanley optimistic about price increase on eldorado resorts ahead of caesars combination,10,1,1,0.6683088,True,None
morgan stanley joins mortgage sector bulls,9,1,1,0.5879118,True,None
morgan stanley raises fortinet s price target after optimistic about price increase analyst day,8,1,1,0.9173861,True,None
morgan stanley upgrades nvidia <TICKER> from equal weight to overweight and announces 259 price target,7,1,1,0.85251147,True,None
morgan stanley upgrades nvidia to buy predicting 2020 will be a return to solid growth,7,1,1,0.9509009,True,None
munster doubles down says apple has 40 upside this year,7,1,1,0.6043651,True,None
new bull sees 22 upside for splunk,7,1,1,0.88376033,True,None
new for subscribers morgan stanley adds amazon to its list of favorite stocks here are the rest,6,1,1,0.89016163,True,None
newmont goldcorp stock price target raised to 41 50 from 39 50 at b riley fbr,6,1,1,0.574867,True,None
nlight target raised on nutronics deal,18,1,1,0.4998009,True,None
nokia stock price target raised to 6 00 from 5 50 at mkm partners,16,1,1,0.81966305,True,None
nuvasive upgraded to outperform vs market perform at leerink,15,1,2,0.60004735,False,True_1_Pred_2
nvidia has one of the best opportunities to maintain high multiple morgan stanley says in upgrade,14,1,1,0.96897304,True,None
nvidia stock climbs after morgan stanley turns optimistic about price increase,14,1,1,0.98568314,True,None
nxp semiconductors stock price target raised to 139 vs 128 at suntrust robinson humphrey,14,1,1,0.9732319,True,None
olin corp stock price target raised to 23 vs 22 at bofa merrill lynch,14,1,1,0.54380435,True,None
one analyst says td could unlock significant value by selling its minority stake in ameritrade after its purchase,14,1,1,0.98227274,True,None
onto innovation stock price target raised to 50 from 40 at benchmark,14,1,1,0.98289317,True,None
owens corning upgraded at wells after raising residential insulation prices,14,1,1,0.968072,True,None
owens corning upgraded on strong insulation roofing potential,14,1,1,0.9652646,True,None
oyster point pharma initiated at overweight with 26 price target at jp morgan,13,1,1,0.9485418,True,None
paul tudor jones sees the potential for a stock market explosion to the upside,13,1,1,0.944619,True,None
pennmac financial rises to record as piper gets more optimistic about price increase,13,1,1,0.71017873,True,None
piper likes dexcom in premarket analyst action,12,1,1,0.97528607,True,None
pixelworks inc just reported and analysts have been lifting their price targets,12,1,1,0.62714785,True,None
ppg industries stock price target raised to 113 vs 105 at bofa merrill lynch,12,1,1,0.94309634,True,None
prothena upgraded to outperform from in line at evercore isi,12,1,1,0.84558773,True,None
purple innovation initiated at overweight with 12 price target at keybanc capital,12,1,1,0.9018459,True,None
quanterix maintained as outperform with 35 price target at leerink,12,1,1,0.9526301,True,None
results kla corporation beat earnings expectations and analysts now have new forecasts,11,1,1,0.9947115,True,None
rpm international stock price target raised to 79 vs 75 at bofa merrill lynch,11,1,1,0.955023,True,None
s p global stock price target raised to 322 from 274 at stifel nicolaus,10,1,1,0.9747499,True,None
sanderson farms stock price target raised to 159 from 150 at j p morgan,10,1,1,0.9670569,True,None
schlumberger started at buy with 42 stock price target at deutsche bank,10,1,1,0.9354007,True,None
selvaag bolig asa just beat earnings expectations here s what analysts think will happen next,10,1,1,0.8192894,True,None
softbank will have the last laugh with wework deal one bernstein analyst says,10,1,1,0.8934394,True,None
sonoma pharma maintained as buy with 9 price target at benchmark,9,1,1,0.9663418,True,None
splunk upgraded to overweight at morgan stanley,8,1,1,0.9751452,True,None
starbucks stock is a buy according to this investment bank,7,1,1,0.9230826,True,None
starbucks upgraded to overweight at j p morgan after meeting with executives,7,1,1,0.9721176,True,None
stifel upgrades parker hannifin on potential synergies industry recovery prospects,6,1,1,0.9587489,True,None
stifel upgrades wendy s optimistic about price increase on breakfast and digital prospects,26,1,1,0.73606193,True,None
syanptics raised on forecast margin strength,23,1,1,0.768688,True,None
synaptics stock price target raised to 40 from 32 at j p morgan,20,1,1,0.91997325,True,None
synopsys upgraded to overweight from neutral at jpmorgan price target raised to 160 from 157,15,1,1,0.98005164,True,None
te connectivity stock price target raised to 95 vs 94 at suntrust robinson humphrey,14,1,1,0.9592586,True,None
teekay tankers upped two notches to buy at baml,14,1,1,0.95667654,True,None
texas instruments stock price target raised to 125 vs 122 at suntrust robinson humphrey,14,1,1,0.8087138,True,None
twitter stock price target raised to 36 50 from 34 50 at wedbush,14,1,1,0.96821743,True,None
twitter stock price target raised to 38 from 36 at suntrust rh,13,1,1,0.93686545,True,None
twitter stock price target raised to 47 from 34 at susquehanna,13,1,1,0.96023166,True,None
twitter inc just reported and analysts have been lifting their price targets,13,1,1,0.9539153,True,None
u s well services initiated at buy with 3 50 price target at stifel,13,1,1,0.9181834,True,None
uber stock price target raised to 45 from 34 at mkm partners,13,1,1,0.9572555,True,None
